Year,Nodes,Edges,Network Density,Clustering Coefficient,Modularity
2021.0,4686,52831,0.004812901209852823,0.7322916404699087,0.40302798287755415
2022.0,5900,85096,0.004889998592119894,0.7325429287552494,0.39046101815846507
2023.0,6570,127682,0.005916911057494579,0.7309207497266714,0.3318888453487889
2024.0,8012,162164,0.005053086953018232,0.7439832346213859,0.32997780267467225
